Random Graph BFS
2,2.28802e-06
4,7.9458e-06
8,2.30371e-05
16,6.70845e-05
32,0.000201862
64,0.000648715
128,0.00203228
256,0.00613055
512,0.0207755
1024,0.0791563
2048,0.321423
4096,1.16017
Random Graph BFS
2,2.35864e-06
4,8.07129e-06
8,2.31963e-05
16,6.74121e-05
32,0.000202816
64,0.000651943
128,0.00205711
256,0.00643796
512,0.0218158
1024,0.0813792
2048,0.321176
4096,1.17531
8192,4.08671
16384,14.703
Complete Graph BFS
2,2.53287e-05
4,1.69586e-05
8,8.67363e-05
16,0.000347093
32,0.000842086
64,0.00415427
128,0.0207272
256,0.108939
512,0.545644
1024,2.82156
Random Graph BFS
2,2.23004e-06
4,7.76111e-06
8,2.23416e-05
16,6.5002e-05
32,0.000197379
64,0.0006345
128,0.00200286
256,0.00615653
512,0.0210205
1024,0.0778433
2048,0.319955
4096,1.13597
8192,4.14461
16384,15.2227
Complete Graph BFS
2,0.000503838
4,1.50742e-05
8,7.33672e-05
16,0.000345109
32,0.00165412
64,0.00826681
128,0.0408088
256,0.163794
512,0.51449
Random Graph BFS
2,2.50732e-06
4,7.90735e-06
8,2.19268e-05
16,6.35767e-05
32,0.000189363
64,0.000618379
128,0.00193724
256,0.00602909
512,0.0206964
1024,0.0790377
2048,0.328594
4096,1.15457
8192,4.31173
16384,15.49
Complete Graph BFS
2,0.000181442
4,1.746e-05
8,8.79082e-05
16,0.000419687
32,0.00197774
64,0.00950198
128,0.0317822
256,0.107749
512,0.544386
1024,2.91197
2048,15.393
